x: -0.002220, y: -0.001271, z: -0.000049, roll: -0.000207, pitch: 0.001910, yaw: -0.001721
x: -0.003858, y: -0.002574, z: -0.000503, roll: 0.000500, pitch: 0.002207, yaw: -0.004523
x: -0.002159, y: -0.001490, z: -0.000064, roll: -0.000371, pitch: 0.001832, yaw: -0.001779
x: -0.003830, y: -0.002920, z: -0.000438, roll: 0.000195, pitch: 0.002048, yaw: -0.005101
x: -0.002253, y: -0.001352, z: -0.000093, roll: -0.000220, pitch: 0.001897, yaw: -0.001898
x: -0.003349, y: -0.002936, z: -0.000472, roll: 0.000214, pitch: 0.001609, yaw: -0.004792
x: -0.002981, y: -0.001335, z: -0.000020, roll: -0.000280, pitch: 0.002526, yaw: -0.002277
x: -0.003198, y: -0.003003, z: -0.000495, roll: 0.000126, pitch: 0.001558, yaw: -0.004505
x: -0.001819, y: -0.001810, z: -0.000071, roll: -0.000407, pitch: 0.001527, yaw: -0.001764
x: -0.004046, y: -0.003125, z: -0.000437, roll: 0.000018, pitch: 0.002250, yaw: -0.005129
x: -0.003323, y: -0.003025, z: -0.000453, roll: 0.000149, pitch: 0.001500, yaw: -0.005058
x: -0.003896, y: -0.001072, z: -0.000055, roll: -0.000044, pitch: 0.003293, yaw: -0.003006
x: -0.001977, y: -0.001840, z: -0.000101, roll: -0.000424, pitch: 0.001631, yaw: -0.002051
x: -0.004317, y: -0.002371, z: -0.000546, roll: 0.000673, pitch: 0.002561, yaw: -0.004893
x: -0.001904, y: -0.001901, z: -0.000093, roll: -0.000466, pitch: 0.001572, yaw: -0.001978
x: -0.003474, y: -0.003137, z: -0.000469, roll: 0.000002, pitch: 0.001696, yaw: -0.004985
x: -0.003729, y: -0.003101, z: -0.000483, roll: 0.000013, pitch: 0.001966, yaw: -0.004952
x: -0.002714, y: -0.001162, z: -0.000116, roll: -0.000079, pitch: 0.002331, yaw: -0.002018
x: -0.003200, y: -0.001206, z: -0.000053, roll: -0.000136, pitch: 0.002734, yaw: -0.002341
x: 0.001455, y: -0.003180, z: -0.001203, roll: 0.000006, pitch: -0.002447, yaw: -0.002430
x: 0.153430, y: -0.066563, z: 0.003851, roll: -0.034173, pitch: -0.159656, yaw: 0.087463
x: -0.004239, y: -0.000870, z: -0.000079, roll: 0.000171, pitch: 0.003604, yaw: -0.003200
x: -0.006782, y: -0.002534, z: -0.000441, roll: 0.000489, pitch: 0.004427, yaw: -0.005684
x: -0.003736, y: -0.003000, z: -0.000514, roll: 0.000149, pitch: 0.001892, yaw: -0.005300
x: -0.005027, y: -0.002948, z: -0.000505, roll: 0.000193, pitch: 0.002978, yaw: -0.005482
x: 0.001999, y: -0.001438, z: -0.000592, roll: -0.000258, pitch: -0.001664, yaw: 0.000619
x: -0.002494, y: -0.001400, z: -0.000087, roll: -0.000307, pitch: 0.002098, yaw: -0.002100
x: -0.002065, y: -0.001913, z: -0.000115, roll: -0.000442, pitch: 0.001718, yaw: -0.002054
x: -0.001928, y: -0.001869, z: -0.000083, roll: -0.000447, pitch: 0.001595, yaw: -0.002014
x: -0.002456, y: -0.001431, z: -0.000092, roll: -0.000313, pitch: 0.002042, yaw: -0.001979
